acpid 2.0.34-2
act 0.2.84-1
alsa-utils 1.2.15.2-1
baobab 49.1-1
base 3-2
base-devel 1-2
bat 0.26.1-1
bind 9.20.18-1
bluez 5.85-1
bluez-utils 5.85-1
btop 1.4.6-1
btrfs-progs 6.17.1-2
chafa 1.16.2-1
clang 21.1.6-3
cmake 4.2.2-1
codename-goose-bin 1.16.1-1
cups 2:2.4.16-1
cutechess 1.4.0-1
d2 0.7.1-1
dcli-arch-git 0.2.0.r154.4f269696-1
dconf-editor 49.0-1
deja-dup 49.2-1
direnv 2.37.1-1
dnsmasq 2.92-1
docker 1:29.1.4-1
docker-buildx 0.30.1-1
docker-compose 5.0.1-1
dosfstools 4.2-5
dunst 1.13.0-1
edk2-ovmf-fedora 20251119-3
efibootmgr 18-3
efitools 1.9.2-6
eog 47.0-4
evince 1:48.1-1
fd 10.3.0-1
ffmpegthumbnailer 2.3.0-1
file-roller 44.6-1
firefox 147.0.1-1
fprintd 1.94.5-1
fragments 3.0.1-3
fwupd 2.0.19-1
fzf 0.67.0-2
gamemode 1.8.2-1
gdm 49.2-1
ghostty 1.2.3-2
git 2.52.0-2
github-cli 2.86.0-1
gnome-backgrounds 49.0-1
gnome-boxes 49.1-1
gnome-browser-connector 42.1-8
gnome-calculator 49.2-1
gnome-calendar 49.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-console 49.2-1
gnome-contacts 49.0-1
gnome-control-center 49.3-1
gnome-disk-utility 46.1-2
gnome-epub-thumbnailer 1.8-2
gnome-font-viewer 49.0-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.3-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-photos 1:44.0-7
gnome-remote-desktop 49.2-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.3-1
gnome-shell-extensions 49.0-1
gnome-software 49.3-1
gnome-software-packagekit-plugin 43.5-1
gnome-system-monitor 49.1-1
gnome-text-editor 49.1-1
gnome-themes-extra 1:3.28-1
gnome-tweaks 49.0-2
gnome-user-docs 49.1-1
gnome-user-share 48.2-1
gnome-video-effects 1:0.6.0-2
gnome-weather 49.0-1
go 2:1.25.6-1
go-task-bin 3.37.2-1
grilo-plugins 1:0.3.18-1
grub 2:2.14-1
grub-btrfs 4.14-1
gst-libav 1.26.10-3
gtk-engine-murrine 0.98.2-4
gvfs 1.58.0-2
gvfs-afc 1.58.0-2
gvfs-goa 1.58.0-2
gvfs-google 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-onedrive 1.58.0-2
gvfs-smb 1.58.0-2
helm 3.19.4-1
helvum 0.5.1-1
ifuse 1.2.0-1
inotify-tools 4.25.9.0-1
intel-media-driver 25.3.4-1
intel-ucode 20251111-1
jq 1.8.1-1
k9s 0.50.18-1
kind-bin 0.29.0-1
kooha 2.3.1-1
kora-icon-theme 1.6.5-1
kubectl 1.35.0-1
kustomize 5.8.0-1
lf-bin 33-1
lib32-gamemode 1.8.2-1
libev 4.33-5
libva-intel-driver 2.4.1-5
linux 6.18.6.arch1-1
linux-firmware 20260110-1
linux-headers 6.18.6.arch1-1
localsearch 3.10.2-1
loupe 49.2-1
lsd 1.2.0-1
malcontent 0.13.1-1
man-db 2.13.1-1
man-pages 6.16-1
mtools 1:4.0.49-1
nautilus 49.3-1
neovim 0.11.5-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
networkmanager-l2tp 1.20.22-1
networkmanager-openvpn 1.12.5-1
ngrok 3.23.3-1
nix 2.33.1-1
nix-docs 2.24.11-10
nodejs 25.3.0-1
nordvpn-bin 4.2.2-1
noto-fonts 1:2026.01.01-1
npm 11.7.0-1
ntfs-3g 2022.10.3-2
orca 49.5-2
pacman-contrib 1.13.1-1
pandoc-bin 3.7.0.2-1
pfetch-rs-bin 2.11.1-1
pipewire 1:1.4.10-1
pipewire-alsa 1:1.4.10-1
pipewire-jack 1:1.4.10-1
pipewire-pulse 1:1.4.10-1
popcorntime-bin 0.5.1-2
power-profiles-daemon 0.30-1
python-dbus 1.4.0-2
python-pip 25.3-3
python-pipenv 2026.0.2-2
qemu-full 10.2.0-1
realtime-privileges 5-1
reflector 2023-5
ripgrep 15.1.0-1
rsync 3.4.1-2
rustup 1.28.2-4
rygel 1:45.1-1
sbctl 0.18-1
signal-desktop 7.85.0-1
simple-scan 49.1-1
slides 0.9.0-2
snap-pac 3.0.1-3
snapper 0.13.0-2
snapshot 49.1-1
sof-firmware 2025.12-1
stow 2.4.1-1
sushi 46.0-2
terraform 1.14.3-1
tex-gyre-fonts 2.501-3
tldr 3.4.3-3
tmux 3.6_a-1
tokei 14.0.0-1
totem 43.2-3
transmission-gtk 4.0.6-10
tree 2.2.1-1
ttf-bitstream-vera 1.10-16
ttf-croscore 20220810-3
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-ibm-plex 6.4.0-1
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-roboto 3.014-1
ttf-ubuntu-font-family 1:0.83-2
ttf-vista-fonts 1-11
typst 1:0.14.2-1
valgrind 3.25.1-3
vi 1:070224-6
virt-manager 5.1.0-3
vlc 3.0.21-32
vlc-plugins-all 3.0.21-32
vulkan-intel 1:25.3.3-3
wezterm 20240203.110809.5046fc22-2
wget 1.25.0-3
wireguard-tools 1.0.20250521-1
wireplumber 0.5.13-1
wpa_supplicant 2:2.11-5
xclip 0.13-6
xdg-desktop-portal-gnome 49.0-1
xdg-user-dirs 0.19-2
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xournalpp 1.3.1-1
yay-bin 12.5.7-1
yelp 49.0-1
yq 3.4.3-3
zathura 0.5.14-1
zathura-pdf-mupdf 0.4.6-4
zoxide 0.9.8-2
zsh 5.9-5
